wave,40_30_30
1.402,0.070389711
1.403,0.070368078
1.404,0.070346493
1.405,0.070324957
1.406,0.070258805
1.407,0.070237927
1.408,0.070217097
1.409,0.070196315
1.41,0.070175581
1.411,0.07013723
1.412,0.070098976
1.413,0.070060817
1.414,0.070022754
1.415,0.069984787
1.416,0.069946915
1.417,0.069909138
1.418,0.069871455
1.419,0.069833866
1.42,0.069796371
1.421,0.069730898
1.422,0.069665626
1.423,0.069600554
1.424,0.069535681
1.425,0.069471006
1.426,0.069406528
1.427,0.069342247
1.428,0.069278162
1.429,0.069214272
1.43,0.069150575
1.431,0.069079642
1.432,0.069008935
1.433,0.068938455
1.434,0.068868201
1.435,0.068798171
1.436,0.068728365
1.437,0.068658781
1.438,0.068589418
1.439,0.068520277
1.44,0.068451355
1.441,0.068379706
1.442,0.068308288
1.443,0.068237102
1.444,0.068166144
1.445,0.068095416
1.446,0.068024915
1.447,0.067954641
1.448,0.067884592
1.449,0.067814768
1.45,0.067745168
1.451,0.067617328
1.452,0.067490064
1.453,0.067363372
1.454,0.067237249
1.455,0.067111692
1.456,0.066986696
1.457,0.066862259
1.458,0.066738376
1.459,0.066615045
1.46,0.066492263
1.461,0.066350651
1.462,0.066209731
1.463,0.066069499
1.464,0.065929948
1.465,0.065791076
1.466,0.065652876
1.467,0.065515346
1.468,0.06537848
1.469,0.065242275
1.47,0.065106725
1.471,0.064986926
1.472,0.064867659
1.473,0.064748921
1.474,0.064630709
1.475,0.064513021
1.476,0.064395851
1.477,0.064279199
1.478,0.064163059
1.479,0.06404743
1.48,0.063932309
1.481,0.063862978
1.482,0.063793875
1.483,0.063724999
1.484,0.063656348
1.485,0.063587922
1.486,0.06351972
1.487,0.063451741
1.488,0.063383983
1.489,0.063316446
1.49,0.06323778
1.491,0.063185528
1.492,0.063212386
1.493,0.063239229
1.494,0.063266059
1.495,0.063292874
1.496,0.063319675
1.497,0.063346462
1.498,0.063373235
1.499,0.063399993
1.5,0.063426738
1.501,0.063448696
1.502,0.063470642
1.503,0.063492577
1.504,0.0635145
1.505,0.063536412
1.506,0.063558312
1.507,0.063580201
1.508,0.063602078
1.509,0.063623944
1.51,0.063645799
1.511,0.063667642
1.512,0.063689473
1.513,0.063711293
1.514,0.063733102
1.515,0.0637549
1.516,0.063776686
1.517,0.063798461
1.518,0.063820225
1.519,0.063841977
1.52,0.063863718
1.521,0.063898939
1.522,0.063934148
1.523,0.063969343
1.524,0.064004526
1.525,0.064039696
1.526,0.064074853
1.527,0.064109997
1.528,0.064145128
1.529,0.064180247
1.53,0.064215352
1.531,0.064260823
1.532,0.064306286
1.533,0.06435174
1.534,0.064397185
1.535,0.064442622
1.536,0.06448805
1.537,0.064533469
1.538,0.064578879
1.539,0.064624281
1.54,0.064669674
1.541,0.064720716
1.542,0.064771755
1.543,0.064822791
1.544,0.064873823
1.545,0.064924851
1.546,0.064975876
1.547,0.065026897
1.548,0.065077915
1.549,0.065128929
1.55,0.06517994
1.551,0.065230946
1.552,0.065281949
1.553,0.065332949
1.554,0.065383945
1.555,0.065434937
1.556,0.065485925
1.557,0.065536909
1.558,0.06558789
1.559,0.065638867
1.56,0.06568984
1.561,0.065727126
1.562,0.065764401
1.563,0.065801663
1.564,0.065838914
1.565,0.065876152
1.566,0.065913379
1.567,0.065950593
1.568,0.065987796
1.569,0.066024986
1.57,0.066062164
1.571,0.066099331
1.572,0.066136485
1.573,0.066173628
1.574,0.066210758
1.575,0.066247733
1.576,0.066284363
1.577,0.06632098
1.578,0.066357585
1.579,0.066394178
1.58,0.066430759
1.581,0.066467328
1.582,0.066503885
1.583,0.06654043
1.584,0.066576962
1.585,0.066613483
1.586,0.066649991
1.587,0.066686488
1.588,0.066722972
1.589,0.066759444
1.59,0.066795905
1.591,0.066827718
1.592,0.066859516
1.593,0.066891299
1.594,0.066923065
1.595,0.066954816
1.596,0.066986551
1.597,0.06701827
1.598,0.067049974
1.599,0.067081662
1.6,0.067113334
1.601,0.06714499
1.602,0.067176631
1.603,0.067208256
1.604,0.067239865
1.605,0.067271459
1.606,0.067303036
1.607,0.067334599
